popularity,followers,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
95,76904299,0.488,0.635,-7.19,1,0.26,0.179,8.16E-06,0.156,0.783,174.072
95,76904299,0.927,0.538,-3.917,1,0.116,0.0312,0,0.0945,0.221,125.983
95,76904299,0.461,0.812,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869
95,76904299,0.526,0.583,-9.172,1,0.376,0.699,0,0.372,0.378,89.837
95,76904299,0.715,0.745,-5.71,1,0.25,0.0311,0,0.0823,0.687,148.042
95,67326139,0.638,0.863,-5.221,0,0.132,0.052,5.46E-05,0.685,0.226,120.077
95,76904299,0.618,0.693,-5.943,0,0.45,0.246,0,0.112,0.454,170.982
95,67326139,0.586,0.525,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629
95,76904299,0.84,0.744,-4.751,1,0.113,0.0181,0,0.629,0.171,83.737
95,76904299,0.761,0.518,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976
95,76904299,0.865,0.53,-6.347,0,0.0491,0.511,0.00149,0.0946,0.203,104.948
95,76904299,0.639,0.57,-4.966,1,0.042,0.0233,0,0.329,0.728,92.073
95,67326139,0.658,0.671,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966
95,76904299,0.533,0.674,-5.862,1,0.358,0.018,0,0.0906,0.602,213.737
95,76904299,0.824,0.49,-8.391,1,0.429,0.0369,1.24E-06,0.0807,0.307,165.948
95,76904299,0.669,0.634,-6.476,1,0.0327,0.0125,0,0.0946,0.496,124.906
