,Album_Id,Album_Type,Href,Album_Name,Label,Release_date,Release_date_precision,Total_tracks,Uri
1756,2Qfn3NWZPkbdfcHeZP82Z7,single,https://api.spotify.com/v1/albums/2Qfn3NWZPkbdfcHeZP82Z7,Go Mode,Epic/CMG,2014-09-19,day,6,spotify:album:2Qfn3NWZPkbdfcHeZP82Z7
1757,7mmdJJoGtwStzZImLRmRFS,album,https://api.spotify.com/v1/albums/7mmdJJoGtwStzZImLRmRFS,Heart On My Sleeve (Deluxe),Capitol Records (CAP),2014-10-14,day,14,spotify:album:7mmdJJoGtwStzZImLRmRFS
1758,1lM5IfaqcIsXd6UCV3aDSs,album,https://api.spotify.com/v1/albums/1lM5IfaqcIsXd6UCV3aDSs,Settle (Deluxe),Universal-Island Records Ltd.,2013-06-03,day,16,spotify:album:1lM5IfaqcIsXd6UCV3aDSs
1759,4FADvCXok2GhepAWLE8Fs1,album,https://api.spotify.com/v1/albums/4FADvCXok2GhepAWLE8Fs1,Paperwork (Deluxe Explicit),Grand Hustle/Columbia,2014-10-17,day,18,spotify:album:4FADvCXok2GhepAWLE8Fs1
1760,36WLicHKpbEZ4CDR1KxZEW,album,https://api.spotify.com/v1/albums/36WLicHKpbEZ4CDR1KxZEW,Hungry Ghosts,BMG Rights Management (US) LLC,2014-10-14,day,12,spotify:album:36WLicHKpbEZ4CDR1KxZEW
1761,2G4AUqfwxcV1UdQjm2ouYr,album,https://api.spotify.com/v1/albums/2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,Parlophone UK,2014-05-19,day,9,spotify:album:2G4AUqfwxcV1UdQjm2ouYr
1762,76pnrwBIc2GnoyEVbJJb9M,album,https://api.spotify.com/v1/albums/76pnrwBIc2GnoyEVbJJb9M,Just As I Am,"The Valory Music Co., LLC",2014-01-01,day,11,spotify:album:76pnrwBIc2GnoyEVbJJb9M
1763,44Wg9gZPHK8MebSuBpq63k,album,https://api.spotify.com/v1/albums/44Wg9gZPHK8MebSuBpq63k,Sound Of A Woman,4th & Broadway / Island,2014-10-21,day,13,spotify:album:44Wg9gZPHK8MebSuBpq63k
1764,18G8ZHAbJBrSwP9IwlNJMG,single,https://api.spotify.com/v1/albums/18G8ZHAbJBrSwP9IwlNJMG,Hookah,Cash Money Records/Motown Records,2014-01-01,day,1,spotify:album:18G8ZHAbJBrSwP9IwlNJMG
1765,0M0t6U2MyAoH2fiEYEyvf7,single,https://api.spotify.com/v1/albums/0M0t6U2MyAoH2fiEYEyvf7,U Guessed It (feat. 2 Chainz) - Single,Quality Control / OG Maco,2014-09-26,day,1,spotify:album:0M0t6U2MyAoH2fiEYEyvf7
1766,6zXUDBGLbrB9Kgkw2Y3F7L,album,https://api.spotify.com/v1/albums/6zXUDBGLbrB9Kgkw2Y3F7L,Aquarius,RCA Records Label,2014-10-01,day,18,spotify:album:6zXUDBGLbrB9Kgkw2Y3F7L
1767,4JlzEvVJqpb62Xwc0EmOHr,single,https://api.spotify.com/v1/albums/4JlzEvVJqpb62Xwc0EmOHr,Shower,Kemosabe Records/RCA Records,2014-04-23,day,1,spotify:album:4JlzEvVJqpb62Xwc0EmOHr
